,count,mean,std,min,25%,50%,75%,max
122,4.0,2.45,1.37234592334926,1.6,1.75,1.85,2.55,4.5
123,4.0,2.45,2.164101045083924,0.4,1.4500000000000002,1.9500000000000002,2.95,5.5
124,4.0,4.775,3.181587653986606,0.5,4.025,5.2,5.95,8.2
125,4.0,2.9749999999999996,4.137128633887679,0.0,0.9750000000000001,1.4,3.4,9.1
126,4.0,5.199999999999999,2.0461345670963738,3.8,3.95,4.4,5.6499999999999995,8.2
127,4.0,3.8,1.0862780491200215,2.7,3.375,3.6,4.025,5.3
128,4.0,2.05,1.9570385790780926,0.0,0.675,1.95,3.325,4.3
129,4.0,2.95,2.6400757564888173,0.0,1.7999999999999998,2.7,3.85,6.4
130,4.0,3.925,2.757263135792447,0.9,2.25,3.75,5.425,7.3
131,4.0,4.65,2.5839246635044653,2.0,3.6500000000000004,4.2,5.2,8.2
132,4.0,2.5500000000000003,1.5588457268119895,0.9,1.575,2.4,3.375,4.5
133,4.0,5.95,1.190238071423808,4.4,5.6,6.05,6.3999999999999995,7.3
134,4.0,3.15,4.596737973824482,0.4,0.55,1.1,3.7,10.0
135,4.0,4.4,3.3803352890899245,1.1,2.75,3.6999999999999997,5.35,9.1
136,4.0,3.75,2.1439838307848,0.9,2.6999999999999997,4.3,5.35,5.5
137,4.0,3.05,3.443351080948131,1.1,1.175,1.45,3.3249999999999997,8.2
138,4.0,3.7249999999999996,3.657298638795215,0.9,2.025,2.45,4.15,9.1
139,4.0,3.55,3.3161222333723863,0.4,1.9,2.8,4.45,8.2
140,4.0,2.625,4.9223131418741195,0.0,0.0,0.25,2.875,10.0
141,4.0,4.325,2.382400749943916,1.6,3.1,4.2,5.425,7.3
142,4.0,3.125,4.62123720807895,0.0,0.8999999999999999,1.25,3.4749999999999996,10.0
143,4.0,3.325,1.3200378782444084,1.6,2.65,3.6,4.275,4.5
144,4.0,2.8,4.8083261120685235,0.0,0.44999999999999996,0.6,2.95,10.0
145,4.0,3.45,1.5416441439796238,1.8,2.7,3.25,4.0,5.5
146,4.0,4.925,3.286715685908959,0.7,3.25,5.4,7.075,8.2
147,4.0,3.55,3.139532873958587,1.3,2.05,2.3499999999999996,3.8499999999999996,8.2
148,4.0,2.85,4.768298089115934,0.3,0.45,0.55,2.95,10.0
149,4.0,4.199999999999999,2.228601953392904,1.1,3.65,4.65,5.2,6.4
150,4.0,6.1,3.2218007387174024,1.3,5.8,7.449999999999999,7.75,8.2
151,4.0,3.025,2.8721362548922826,1.1,1.625,1.85,3.25,7.3
152,4.0,3.25,1.6542873591570075,1.6,2.35,2.95,3.8499999999999996,5.5
153,4.0,3.575,3.790668366748358,0.5,1.7000000000000002,2.35,4.225,9.1
154,4.0,3.575,3.716068711241312,1.1,1.625,2.05,4.0,9.1
155,4.0,5.175,3.3629104458291286,2.4,3.225,4.15,6.1,10.0
156,4.0,3.95,1.676305461424021,1.5,3.75,4.5,4.7,5.3
157,4.0,3.825,0.9912113800799505,2.4,3.525,4.2,4.5,4.5
158,4.0,4.874999999999999,3.4586847211042517,0.9,2.55,5.2,7.5249999999999995,8.2
159,4.0,3.65,3.046856303361438,1.8,2.025,2.3,3.925,8.2
160,4.0,1.925,1.3098982148752372,0.4,1.4500000000000002,1.85,2.325,3.6
161,4.0,4.575,2.0886598574205424,1.6,4.0,5.15,5.725,6.4
162,4.0,2.6500000000000004,0.9433981132056604,1.8,2.25,2.4,2.8,4.0
163,4.0,4.2,2.325224003546038,1.8,2.925,3.85,5.125,7.3
164,4.0,4.875,3.0115057142012307,2.0,3.425,4.2,5.65,9.1
165,4.0,2.7,0.6683312551921141,2.0,2.375,2.6,2.9250000000000003,3.6
166,4.0,2.125,1.007885575516057,1.1,1.625,1.9500000000000002,2.45,3.5
167,4.0,3.475,3.8819024545532654,0.2,1.625,2.3,4.15,9.1
168,4.0,5.2,0.812403840463596,4.5,4.5,5.15,5.85,6.0
169,4.0,3.325,3.8870511530807854,0.7,1.3,1.75,3.775,9.1
170,4.0,2.8,4.8083261120685235,0.0,0.44999999999999996,0.6,2.95,10.0
171,4.0,3.0500000000000003,1.3304134695650072,1.8,1.95,3.1,4.2,4.2
172,4.0,1.375,0.6800735254367722,0.7,0.85,1.35,1.875,2.1
173,4.0,3.8499999999999996,3.7385380386812526,0.4,1.8249999999999997,2.95,4.975,9.1
174,4.0,6.050000000000001,2.037154878746336,4.9,4.975,5.1,6.175,9.1
175,4.0,2.1750000000000003,1.2446552400832396,0.9,1.425,2.0,2.75,3.8
176,4.0,7.6,2.0346989949375804,5.5,6.175000000000001,7.45,8.875,10.0
177,4.0,2.5,1.3341664064126333,1.8,1.8,1.85,2.55,4.5
178,4.0,2.8000000000000003,2.4535688292770597,0.9,1.575,1.9500000000000002,3.1750000000000003,6.4
179,4.0,4.324999999999999,1.9067861267938087,1.8,3.675,4.55,5.2,6.4
180,4.0,1.775,1.3047988350699888,0.5,0.8,1.65,2.625,3.3
181,4.0,3.05,4.665118790913403,0.0,0.675,1.1,3.4749999999999996,10.0
