nome,estado,partido,n_prod_leg,n_fisc,n_mobi,n_alin_partd,nota
delegado waldir,Goiás,UNIÃO,4.5,0.9,3.0,1.8,6.54
denis bezerra,Ceará,PSB,6.0,4.4,6.1,7.3,3.53
deuzinho filho,Ceará,REPUBLICANOS,1.6,0.4,0.6,10.0,
diego andrade,Minas Gerais,PSD,4.1,1.1,3.3,9.1,5.78
diego garcia,Paraná,REPUBLICANOS,5.3,3.3,5.5,0.9,7.31
dimas fabiano,Minas Gerais,PP,1.7,1.1,1.2,8.2,5.96
domingos neto,Ceará,PSD,2.5,0.9,2.4,9.1,5.83
domingos savio,Minas Gerais,PL,3.2,0.4,2.4,8.2,6.39
dr. agripino magalhaes,Ceará,UNIÃO,0.5,0.0,0.0,10.0,4.85
dr. frederico,Minas Gerais,PATRIOTA,3.6,1.6,4.8,7.3,6.16
dr. goncalo,Maranhão,REPUBLICANOS,1.3,0.0,1.2,10.0,
dr. jaziel,Ceará,PL,4.2,1.6,3.0,4.5,6.48
dr. joao,Bahia,PROS,0.6,0.0,0.6,10.0,
dr. leonardo,Mato Grosso,REPUBLICANOS,3.5,1.8,3.0,5.5,6.72
dr. luiz antonio teixeira jr.,Rio de Janeiro,PP,4.1,0.7,6.7,8.2,6.56
dr. luiz ovando,Mato Grosso do Sul,PP,2.3,1.3,2.4,8.2,7.11
dr. sinval malheiros,São Paulo,PODE,0.6,0.5,0.3,10.0,
dr. zacharias calil,Goiás,UNIÃO,4.5,1.1,4.8,6.4,6.69
dra. soraya manato,Espírito Santo,PTB,7.6,1.3,7.3,8.2,7.51
dra. vanda milani,Acre,PROS,1.9,1.1,1.8,7.3,6.74
dulce miranda,Tocantins,MDB,2.6,1.6,3.3,5.5,6.07
edilazio junior,Maranhão,PSD,2.6,0.5,2.1,9.1,6.69
edio lopes,Roraima,PL,2.3,1.1,1.8,9.1,6.1
edmilson rodrigues,Pará,PSOL,2.4,3.5,4.8,10.0,
edna henrique,Paraíba,REPUBLICANOS,5.3,1.5,4.5,4.5,5.53
eduardo barbosa,Minas Gerais,PSDB,4.5,2.4,3.9,4.5,6.95
eduardo bismarck,Ceará,PDT,8.2,3.1,7.3,0.9,3.9
eduardo bolsonaro,São Paulo,PL,2.5,1.8,2.1,8.2,7.23
eduardo braide,Maranhão,PODE,1.9,0.4,3.6,1.8,
eduardo costa,Pará,PSD,4.8,1.6,5.5,6.4,6.93
eduardo cury,São Paulo,PSDB,4.0,2.4,2.4,1.8,7.1
eduardo da fonte,Pernambuco,PP,4.4,1.8,3.3,7.3,5.36
efraim filho,Paraíba,UNIÃO,3.9,2.0,4.5,9.1,7.1
elcione barbalho,Pará,MDB,2.5,2.0,2.7,3.6,5.6
eli borges,Tocantins,PL,3.5,1.1,2.1,1.8,5.74
eli correa filho,São Paulo,UNIÃO,2.5,0.2,2.1,9.1,6.77
elias vaz,Goiás,PSB,4.5,6.0,5.8,4.5,3.77
elmar nascimento,Bahia,UNIÃO,2.0,0.7,1.5,9.1,6.45
ely santos,São Paulo,REPUBLICANOS,0.6,0.0,0.6,10.0,
emanuel pinheiro neto,Mato Grosso,MDB,4.2,2.0,4.2,1.8,5.62
emidinho madeira,Minas Gerais,PL,1.8,0.7,2.1,0.9,6.3
eneias reis,Minas Gerais,UNIÃO,2.3,0.4,3.6,9.1,
enio verri,Paraná,PT,5.0,4.9,5.2,9.1,2.53
enrico misasi,São Paulo,MDB,3.8,1.6,2.4,0.9,6.9
erika kokay,Distrito Federal,PT,8.5,5.5,10.0,6.4,2.55
eros biondini,Minas Gerais,PL,1.9,1.8,1.8,4.5,6.78
euclydes pettersen,Minas Gerais,PSC,1.8,0.9,2.1,6.4,5.88
evair vieira de melo,Espírito Santo,PP,4.3,1.8,4.8,6.4,7.68
