,n_prod_leg,n_fisc,n_mobi,n_alin_partd
275,0.5,0.2,0.9,10.0
276,2.3,1.1,1.5,9.1
277,0.5,0.0,0.3,10.0
278,5.5,4.4,6.4,9.1
279,4.4,0.7,3.6,8.2
280,6.9,2.2,4.8,8.2
281,4.2,1.8,2.1,6.4
282,7.2,0.9,3.9,0.9
283,6.0,1.3,6.1,6.4
284,1.6,0.0,0.9,6.4
285,1.4,0.2,0.6,8.2
286,5.7,3.3,5.8,7.3
287,1.9,0.2,3.9,9.1
288,3.6,2.2,4.8,8.2
289,1.4,0.0,0.9,9.1
290,0.9,0.2,1.2,10.0
291,2.5,1.5,1.8,4.5
292,3.0,1.1,1.8,5.5
293,2.6,0.9,2.1,9.1
294,7.2,2.0,6.1,9.1
295,4.2,2.4,3.3,1.8
296,1.0,0.9,1.5,10.0
297,5.1,0.7,4.8,9.1
298,4.1,0.7,2.4,3.6
299,2.8,0.2,1.8,2.7
300,1.0,0.0,1.5,10.0
301,3.1,0.4,3.6,9.1
302,2.3,0.9,2.4,9.1
303,9.0,3.3,6.1,0.9
304,3.4,1.5,4.5,7.3
305,4.1,0.2,3.9,9.1
306,0.6,0.7,0.6,10.0
307,4.2,1.1,2.4,8.2
308,4.7,3.8,3.9,0.9
309,2.2,1.8,2.4,7.3
310,3.1,3.8,3.9,10.0
311,7.3,2.2,6.4,0.9
312,1.9,0.2,2.1,0.9
313,1.4,0.0,1.2,10.0
314,3.6,3.8,7.9,8.2
315,0.8,0.7,0.9,8.2
316,2.2,2.0,2.7,8.2
317,2.2,0.0,2.7,6.4
318,5.5,2.4,7.0,6.4
319,5.2,1.5,4.2,6.4
320,3.2,1.3,2.4,0.9
321,3.9,1.1,4.5,5.5
322,2.2,1.6,1.2,6.4
323,6.0,3.1,4.8,10.0
324,4.5,2.2,4.8,0.9
325,3.9,1.6,3.3,5.5
326,1.5,1.3,0.6,8.2
327,3.6,1.6,3.9,0.9
328,3.4,2.4,3.0,5.5
329,8.2,3.6,6.1,5.5
330,2.3,0.0,2.4,9.1
331,3.5,2.9,3.9,6.4
332,2.0,0.2,1.8,8.2
333,1.5,1.3,1.8,8.2
334,3.0,0.9,3.3,7.3
335,2.6,0.9,1.5,6.4
336,6.5,1.6,3.9,8.2
337,2.5,1.6,2.1,8.2
338,6.7,1.3,4.8,1.8
339,4.2,3.6,5.2,7.3
340,5.6,0.4,3.6,7.3
341,3.4,3.6,4.5,9.1
342,2.8,2.4,2.1,8.2
343,3.2,1.1,3.3,9.1
344,1.5,0.9,1.2,10.0
345,4.1,1.5,3.6,0.9
346,0.7,0.0,0.6,10.0
347,3.4,2.4,5.2,8.2
348,1.0,0.4,0.9,9.1
349,2.5,1.3,2.7,8.2
350,4.4,0.5,2.1,8.2
351,3.4,2.9,4.2,4.5
352,5.2,4.4,5.8,8.2
353,2.5,1.3,3.0,6.4
354,2.4,0.4,3.0,5.5
355,6.4,2.0,5.5,0.9
356,1.6,1.1,3.9,9.1
357,1.9,0.2,0.6,5.5
358,2.2,0.9,3.0,10.0
359,3.1,0.9,2.1,7.3
360,2.7,0.2,4.5,9.1
361,3.3,1.1,4.2,5.5
362,3.9,3.8,4.8,7.3
363,2.0,0.2,2.1,9.1
364,3.5,0.9,2.7,7.3
365,0.8,0.4,1.2,7.3
366,4.8,0.7,4.5,8.2
367,3.0,2.2,5.5,10.0
368,7.2,2.5,6.4,8.2
369,3.6,1.3,3.0,10.0
370,3.1,2.4,4.8,5.5
371,5.3,2.7,5.2,9.1
372,2.7,1.1,2.4,8.2
373,5.5,2.2,3.6,8.2
374,2.4,0.9,1.8,5.5
375,1.7,0.7,1.8,0.9
376,4.9,2.2,3.3,6.4
377,2.7,1.1,2.4,6.4
378,3.3,0.0,3.0,6.4
379,1.6,1.8,2.1,9.1
380,2.6,0.9,2.7,7.3
381,7.0,0.7,5.2,0.9
382,2.8,2.7,3.0,8.2
383,0.7,0.9,0.6,8.2
384,2.4,1.5,1.8,6.4
385,1.7,1.1,2.4,7.3
386,2.4,0.9,1.8,10.0
387,1.7,1.1,1.5,7.3
388,2.3,1.5,1.8,8.2
389,6.3,2.5,5.2,9.1
390,3.2,0.7,2.1,9.1
391,1.6,1.8,1.8,10.0
392,5.5,1.1,6.1,3.6
393,2.7,0.7,2.1,10.0
394,2.4,1.1,1.8,8.2
395,2.7,1.1,4.5,5.5
396,1.6,0.0,1.2,10.0
397,4.8,1.6,3.3,7.3
398,0.5,0.0,0.3,0.0
399,1.5,1.1,1.8,8.2
400,6.9,4.4,5.2,9.1
401,4.4,1.5,3.9,8.2
402,3.5,1.3,3.6,2.7
403,0.2,0.0,0.6,10.0
404,2.2,1.3,4.5,7.3
405,1.3,0.5,1.2,10.0
406,2.2,0.4,1.5,8.2
407,5.0,2.7,6.7,8.2
408,2.4,1.1,2.4,7.3
409,1.4,0.9,1.5,2.7
410,3.6,1.8,3.3,10.0
411,2.0,1.1,2.1,7.3
412,3.4,0.5,3.9,6.4
413,1.6,0.0,1.8,8.2
414,4.3,0.9,3.0,0.9
415,4.0,2.2,6.4,9.1
416,0.8,0.4,1.8,10.0
417,4.0,1.3,3.3,8.2
