,nome,estado,regiao,partido,ideologia,n_prod_leg,n_fisc,n_mobi,n_alin_partd,avg_site1,nota_site2
222,hermes parcianello,Paraná,sul,MDB,centro,1.4,0.9,0.6,3.6,1.2411765,6.39
223,hildo rocha,Maranhão,nordeste,MDB,centro,6.4,2.2,5.8,2.7,4.8411765,5.93
224,hiran goncalves,Roraima,norte,PP,direita,3.6,0.5,3.0,9.1,2.9058824,6.8
225,hugo leal,Rio de Janeiro,sudeste,PSD,centro,5.3,3.5,5.5,7.3,4.9235296,7.16
226,hugo motta,Paraíba,nordeste,REPUBLICANOS,direita,3.5,0.9,2.1,8.2,2.764706,6.3
227,idilvan alencar,Ceará,nordeste,PDT,esquerda,2.7,2.0,3.9,1.8,2.6529412,3.64
228,igor kannario,Bahia,nordeste,UNIÃO,direita,2.5,0.0,1.5,6.4,1.8176471,6.92
229,igor timo,Minas Gerais,sudeste,PODE,centro,3.6,1.5,4.8,7.3,3.4117646,6.51
230,iracema portella,Piauí,nordeste,PP,direita,1.9,0.7,1.5,9.1,1.9,5.78
231,isnaldo bulhoes jr.,Alagoas,nordeste,MDB,centro,3.5,0.2,3.0,8.2,2.717647,6.63
232,ivan valente,São Paulo,sudeste,PSOL,esquerda,6.6,4.2,5.8,9.1,5.9,3.05
233,jandira feghali,Rio de Janeiro,sudeste,PCdoB,esquerda,5.6,3.8,6.4,9.1,5.417647,2.94
234,jaqueline cassol,Rondônia,norte,PP,direita,3.6,1.5,3.9,6.4,3.2,6.4
235,jefferson campos,São Paulo,sudeste,PL,direita,3.2,2.4,0.9,0.9,2.4235294,6.43
236,jeronimo goergen,Rio Grande do Sul,sul,PP,direita,5.0,1.1,7.3,5.5,4.288235,7.33
237,jessica sales,Acre,norte,MDB,centro,2.7,0.4,2.1,1.8,1.8647059,5.92
238,jesus sergio,Acre,norte,PDT,esquerda,4.1,2.5,3.3,4.5,3.5117648,4.17
239,jhonatan de jesus,Roraima,norte,REPUBLICANOS,direita,3.0,0.2,2.4,8.2,2.3764706,6.63
240,joao campos,Goiás,centro oeste,REPUBLICANOS,direita,2.8,0.7,2.7,7.3,2.4294116,6.13
241,joao carlos bacelar,Bahia,nordeste,PL,direita,1.8,0.5,2.1,9.1,1.9,5.02
242,joao daniel,Sergipe,nordeste,PT,esquerda,6.0,2.7,6.1,8.2,5.1764708,2.61
243,joao maia,Rio Grande do Norte,nordeste,PL,direita,3.2,1.1,2.1,10.0,2.7882352,7.25
244,joao marcelo souza,Maranhão,nordeste,MDB,centro,1.7,0.2,1.8,9.1,1.7117647,5.6
245,joao roma,Bahia,nordeste,PL,direita,3.2,0.5,2.4,8.2,2.5588236,6.12
246,joaquim passarinho,Pará,norte,PL,direita,3.9,1.6,3.0,3.6,3.0470588,7.75
247,joenia wapichana,Roraima,norte,REDE,esquerda,5.2,2.7,5.8,10.0,4.852941,3.67
248,joice hasselmann,São Paulo,sudeste,PSDB,centro,4.2,2.0,3.3,0.9,3.2,7.87
249,jones moura,Rio de Janeiro,sudeste,PSD,centro,0.5,0.2,0.9,10.0,1.0411764,7.39
250,jorge braz,Rio de Janeiro,sudeste,REPUBLICANOS,direita,2.3,1.1,1.5,9.1,2.2058823,6.28
251,jorge solla,Bahia,nordeste,PT,esquerda,5.5,4.4,6.4,9.1,5.547059,1.95
252,jose airton felix cirilo,Ceará,nordeste,PT,esquerda,4.4,0.7,3.6,8.2,3.3941176,2.58
253,jose guimaraes,Ceará,nordeste,PT,esquerda,6.9,2.2,4.8,8.2,5.2235293,2.75
254,jose mario schreiner,Goiás,centro oeste,MDB,centro,4.2,1.8,2.1,6.4,3.2529411,7.15
255,jose medeiros,Mato Grosso,centro oeste,PL,direita,7.2,0.9,3.9,0.9,4.394118,6.71
256,jose nelto,Goiás,centro oeste,PP,direita,6.0,1.3,6.1,6.4,4.6588235,6.3
257,jose priante,Pará,norte,MDB,centro,1.4,0.2,0.6,8.2,1.3058823,5.07
258,jose ricardo,Amazonas,norte,PT,esquerda,5.7,3.3,5.8,7.3,5.105882,2.65
259,jose rocha,Bahia,nordeste,UNIÃO,direita,1.9,0.2,3.9,9.1,2.1764705,6.3
260,joseildo ramos,Bahia,nordeste,PT,esquerda,3.6,2.2,4.8,8.2,3.6705883,2.94
261,josimar maranhaozinho,Maranhão,nordeste,PL,direita,1.4,0.0,0.9,9.1,1.3529412,4.78
262,josivaldo jp,Maranhão,nordeste,PSD,centro,0.9,0.2,1.2,10.0,1.2823529,6.82
263,juarez costa,Mato Grosso,centro oeste,MDB,centro,2.5,1.5,1.8,4.5,2.2,5.81
264,julian lemos,Paraíba,nordeste,UNIÃO,direita,3.0,1.1,1.8,5.5,2.3764706,7.06
265,julio cesar,Piauí,nordeste,PSD,centro,2.6,0.9,2.1,9.1,2.3941176,6.72
266,julio cesar ribeiro,Distrito Federal,centro oeste,REPUBLICANOS,direita,7.2,2.0,6.1,9.1,5.5882354,6.41
267,julio delgado,Minas Gerais,sudeste,PV,esquerda,4.2,2.4,3.3,1.8,3.3705883,3.82
268,juninho do pneu,Rio de Janeiro,sudeste,UNIÃO,direita,5.1,0.7,4.8,9.1,3.9882352,6.5
269,junio amaral,Minas Gerais,sudeste,PL,direita,4.1,0.7,2.4,3.6,2.7705882,7.35
270,junior ferrari,Pará,norte,PSD,centro,2.8,0.2,1.8,2.7,1.8529412,7.8
271,junior lourenco,Maranhão,nordeste,PL,direita,1.0,0.0,1.5,10.0,1.3235294,6.39
272,junior mano,Ceará,nordeste,PL,direita,3.1,0.4,3.6,9.1,2.7470589,5.84
273,juscelino filho,Maranhão,nordeste,UNIÃO,direita,2.3,0.9,2.4,9.1,2.3058825,5.68
274,kim kataguiri,São Paulo,sudeste,UNIÃO,direita,9.0,3.3,6.1,0.9,6.3352942,7.85
275,laercio oliveira,Sergipe,nordeste,PP,direita,3.4,1.5,4.5,7.3,3.264706,7.54
276,lafayette de andrada,Minas Gerais,sudeste,REPUBLICANOS,direita,4.1,0.2,3.9,9.1,3.2117648,6.09
277,lauriete,Espírito Santo,sudeste,PSC,direita,4.2,1.1,2.4,8.2,3.2058823,6.18
278,leandre,Paraná,sul,PSD,centro,4.7,3.8,3.9,0.9,4.070588,5.44
279,leda sadala,Amapá,norte,PP,direita,2.2,1.8,2.4,7.3,2.4176471,6.0
280,leo de brito,Acre,norte,PT,esquerda,3.1,3.8,3.9,10.0,3.8529413,4.03
281,leo moraes,Rondônia,norte,PODE,centro,7.3,2.2,6.4,0.9,5.2647057,6.62
282,leo motta,Minas Gerais,sudeste,REPUBLICANOS,direita,1.9,0.2,2.1,0.9,1.3764706,5.97
283,leonardo monteiro,Minas Gerais,sudeste,PT,esquerda,3.6,3.8,7.9,8.2,4.6882353,2.8
284,leonidas cristino,Ceará,nordeste,PDT,esquerda,2.2,2.0,2.7,8.2,2.5823529,3.15
285,leur lomanto junior,Bahia,nordeste,UNIÃO,direita,2.2,0.0,2.7,6.4,1.8882353,6.47
286,lidice da mata,Bahia,nordeste,PSB,esquerda,5.5,2.4,7.0,6.4,4.9058824,2.47
287,lincoln portela,Minas Gerais,sudeste,PL,direita,5.2,1.5,4.2,6.4,4.0058823,7.4
288,liziane bayer,Rio Grande do Sul,sul,REPUBLICANOS,direita,3.2,1.3,2.4,0.9,2.3647058,6.98
289,loester trutis,Mato Grosso do Sul,centro oeste,PL,direita,3.9,1.1,4.5,5.5,3.2764707,7.21
290,lourival gomes,Rio de Janeiro,sudeste,PP,direita,2.2,1.6,1.2,6.4,2.0941176,6.96
291,lucas gonzalez,Minas Gerais,sudeste,NOVO,direita,6.0,3.1,4.8,10.0,5.170588,7.49
292,lucas redecker,Rio Grande do Sul,sul,PSDB,centro,4.5,2.2,4.8,0.9,3.664706,8.07
293,lucas vergilio,Goiás,centro oeste,SOLIDARIEDADE,centro,3.9,1.6,3.3,5.5,3.2117648,6.66
294,luciano bivar,Pernambuco,nordeste,UNIÃO,direita,1.5,1.3,0.6,8.2,1.6764706,5.84
295,luciano ducci,Paraná,sul,PSB,esquerda,3.6,1.6,3.9,0.9,2.9058824,3.82
296,lucio mosquini,Rondônia,norte,MDB,centro,3.4,2.4,3.0,5.5,3.1588235,4.96
297,luis miranda,Distrito Federal,centro oeste,REPUBLICANOS,direita,8.2,3.6,6.1,5.5,6.317647,7.24
298,luis tibe,Minas Gerais,sudeste,AVANTE,centro,2.3,0.0,2.4,9.1,2.0411766,6.09
299,luisa canziani,Paraná,sul,PSD,centro,3.5,2.9,3.9,6.4,3.5647058,6.99
300,luiz antonio correa,Rio de Janeiro,sudeste,PP,direita,2.0,0.2,1.8,8.2,1.8,6.26
301,luiz carlos,Amapá,norte,PSDB,centro,1.5,1.3,1.8,8.2,1.8882353,6.55
